Month,Product Name,Category,Region,Units Sold,RFQs Received,Quotes Sent
2020-01,Stainless Steel Pipes,Pipes & Tubes,UAE,150,8,12
2020-02,Stainless Steel Pipes,Pipes & Tubes,UAE,147,11,10
2020-03,Stainless Steel Pipes,Pipes & Tubes,UAE,105,21,9
2020-04,Stainless Steel Pipes,Pipes & Tubes,UAE,162,14,8
2020-05,Stainless Steel Pipes,Pipes & Tubes,UAE,134,8,5
2020-06,Stainless Steel Pipes,Pipes & Tubes,UAE,135,16,10
2020-07,Stainless Steel Pipes,Pipes & Tubes,UAE,128,18,11
2020-08,Stainless Steel Pipes,Pipes & Tubes,UAE,171,12,12
2020-09,Stainless Steel Pipes,Pipes & Tubes,UAE,144,12,12
2020-10,Stainless Steel Pipes,Pipes & Tubes,UAE,175,21,13
2020-11,Stainless Steel Pipes,Pipes & Tubes,UAE,155,13,7
2020-12,Stainless Steel Pipes,Pipes & Tubes,UAE,150,17,12
2021-01,Stainless Steel Pipes,Pipes & Tubes,UAE,163,15,5
2021-02,Stainless Steel Pipes,Pipes & Tubes,UAE,136,15,7
2021-03,Stainless Steel Pipes,Pipes & Tubes,UAE,135,12,11
2021-04,Stainless Steel Pipes,Pipes & Tubes,UAE,151,14,13
2021-05,Stainless Steel Pipes,Pipes & Tubes,UAE,178,12,14
2021-06,Stainless Steel Pipes,Pipes & Tubes,UAE,162,15,10
2021-07,Stainless Steel Pipes,Pipes & Tubes,UAE,161,9,10
2021-08,Stainless Steel Pipes,Pipes & Tubes,UAE,141,15,7
2021-09,Stainless Steel Pipes,Pipes & Tubes,UAE,149,16,10
2021-10,Stainless Steel Pipes,Pipes & Tubes,UAE,170,8,12
2021-11,Stainless Steel Pipes,Pipes & Tubes,UAE,150,10,5
2021-12,Stainless Steel Pipes,Pipes & Tubes,UAE,112,16,6
2022-01,Stainless Steel Pipes,Pipes & Tubes,UAE,145,14,9
2022-02,Stainless Steel Pipes,Pipes & Tubes,UAE,130,12,6
2022-03,Stainless Steel Pipes,Pipes & Tubes,UAE,138,13,9
